name,sell_price,buy_price,buy_orders,sell_orders,profit
RECOMBOBULATOR_3000,5070664.5,4961301.9,375,7963,109362.59999999963
COMPACTOR,9500,8723.6,579,1498,776.3999999999996
ENCHANTED_DIAMOND,1291.9,1291.8,1003,1121,0.10000000000013642
ENCHANTED_BAKED_POTATO,36003.9,33435.5,1119,1044,2568.4000000000015
SUMMONING_EYE,639992.7,626918.8,1694,3091,13073.899999999907
ENCHANTED_CHARCOAL,2324.9,1990.2,214,786,334.70000000000005
FUMING_POTATO_BOOK,1049379.8,1010069.2,493,1075,39310.60000000009
MUTANT_NETHER_STALK,76800,76060.3,331,1183,739.6999999999971
ENCHANTED_FIREWORK_ROCKET,179533.5,104255.6,31,457,75277.9
ENCHANTED_RABBIT,640.5,621.3,258,234,19.200000000000045
REFINED_TITANIUM,346576.2,315792.1,108,100,30784.100000000035
ENCHANTED_COOKED_MUTTON,135882.3,129009.6,90,174,6872.6999999999825
SOULFLOW,93176.5,89016.6,227,244,4159.899999999994
ENCHANTED_COOKED_FISH,689998.9,625002.7,50,146,64996.20000000007
ENCHANTED_MAGMA_CREAM,1307.3,1231.2,614,35,76.09999999999991
MINNOW_BAIT,16.9,12.5,81,11,4.399999999999999
GRIFFIN_FEATHER,40500,37800.4,1073,902,2699.5999999999985
DARK_BAIT,923.6,520.7,240,701,402.9
WHITE_GIFT,7197.8,6801.2,317,2328,396.60000000000036
JERRY_BOX_BLUE,76737.1,70092.1,1342,966,6645
RED_GIFT,53237.1,51195.5,238,1050,2041.5999999999985
ENCHANTED_OAK_LOG,1399.1,1360.6,831,362,38.5
SHARK_BAIT,18.5,6.4,263,96,12.1
ECTOPLASM,49429.1,45416.9,296,15,4012.199999999997
JERRY_BOX_PURPLE,164092.9,148130,1104,740,15962.899999999994
FOUL_FLESH,30296.1,27916.6,416,740,2379.5
ENCHANTED_EYE_OF_ENDER,4808.1,4001,2033,589,807.1000000000004
DAEDALUS_STICK,10899987.2,10000000.4,55,334,899986.7999999989
ENCHANTED_FEATHER,479.7,460,498,295,19.69999999999999
ENCHANTED_SLIME_BLOCK,158997.8,131768.9,98,250,27228.899999999994
RABBIT_HIDE,41.7,31.8,576,107,9.900000000000002
ENCHANTED_WET_SPONGE,174988.1,167000.1,129,63,7988
RAW_BEEF,5.3,3.3,241,44,2
WEREWOLF_SKIN,31893.9,26439.1,478,103,5454.800000000003
ENCHANTED_COAL_BLOCK,186363.5,181915.2,208,1190,4448.299999999988
ENCHANTED_RAW_FISH,4098.6,3869,583,1096,229.60000000000036
QUARTZ,54,51,2241,277,3
ENCHANTED_PRISMARINE_CRYSTALS,564.7,364.3,247,226,200.40000000000003
ENCHANTED_COAL,1234.1,1101.9,428,1304,132.19999999999982
ENDER_STONE,3.2,1.9,665,32,1.3000000000000003
ENCHANTED_QUARTZ,8086,8032.1,1196,1234,53.899999999999636
ENCHANTED_OBSIDIAN,7286.4,7194.1,2409,946,92.29999999999927
LOG_2,5.3,3.5,138,97,1.7999999999999998
HAMSTER_WHEEL,29725.6,27502.2,337,560,2223.399999999998
FISH_BAIT,98.4,83.9,369,366,14.5
ENCHANTED_BLAZE_POWDER,1705.1,1579.4,1526,48,125.69999999999982
STARFALL,565.9,490.5,451,403,75.39999999999998
ENCHANTED_BREAD,61.4,45.6,488,79,15.799999999999997
SNOW_BLOCK,4,2.9,745,11,1.1
LEATHER,32.7,27.7,882,225,5.0000000000000036
ROTTEN_FLESH,7.3,6,865,158,1.2999999999999998
ENCHANTED_PUMPKIN,781.9,725.9,1312,400,56
WATER_LILY,395.4,64,21,360,331.4
ENCHANTED_RABBIT_FOOT,2992.7,2501.4,65,899,491.2999999999997
MAGMA_BUCKET,1817038.6,1740011.3,111,1493,77027.30000000005
SUPERIOR_FRAGMENT,108721.1,104510.3,233,1553,4210.800000000003
ENCHANTED_ICE,645,612.9,373,502,32.10000000000002
HOT_POTATO_BOOK,39241.1,36097.8,5452,1182,3143.2999999999956
ENCHANTED_DIAMOND_BLOCK,206588,204050.2,1514,9110,2537.7999999999884
ENCHANTED_GOLD_BLOCK,209080.4,205963.2,502,1052,3117.1999999999825
ENCHANTED_HAY_BLOCK,5294.7,4733.7,716,745,561
STOCK_OF_STONKS,156171.2,146502,246,652,9669.200000000012
SUPER_COMPACTOR_3000,619994.5,589288.8,728,1476,30705.699999999953
SUPER_EGG,252986.7,237002.5,121,362,15984.200000000012
ENCHANTED_IRON,1353.7,1311.3,2307,577,42.40000000000009
TITANIC_EXP_BOTTLE,359984.3,350003.7,131,491,9980.599999999977
TARANTULA_SILK,111496.7,105155.1,175,411,6341.599999999991
